text,label
这部电影真的很好看，剧情精彩,正面
服务态度很差，食物也不好吃,负面
商品质量不错，物流很快,正面
这家餐厅环境优雅，菜品美味,正面
价格太贵了，性价比不高,负面
客服回复及时，解决问题很专业,正面
产品功能强大，使用体验良好,正面
包装破损，商品有问题,负面
演员演技精湛，值得推荐,正面
等待时间太长，服务效率低,负面
质量很好，超出预期,正面
界面设计不够美观，操作复杂,负面
故事情节引人入胜,正面
售后服务态度恶劣,负面
功能实用，价格合理,正面
配送速度快，包装完整,正面
产品有瑕疵，不值这个价,负面
画质清晰，音效出色,正面
操作简单，功能齐全,正面
客服态度冷漠，问题未解决,负面
手机续航超强，充电还快,正面
衣服面料粗糙，版型还不合身,负面
书店氛围安静，书籍种类丰富,正面
外卖送错餐，商家还不道歉,负面
耳机音质超棒，降噪效果也好,正面
酒店房间狭小，卫生条件差,负面
蛋糕口感细腻，甜度刚刚好,正面
快递员态度恶劣，送货还延迟,负面
笔记本运行流畅，散热效果不错,正面
餐厅上菜速度太慢，菜都凉了,负面
洗发水去屑效果好，香味清新,正面
软件频繁闪退，根本没法用,负面
健身房器材齐全，教练专业,正面
景区门票太贵，景色还一般,负面
钢笔书写流畅，颜值还很高,正面
服装店导购过于热情，让人反感,负面
牛奶新鲜，口感醇厚,正面
快递包装简陋，商品被压坏,负面
火锅店味道正宗，食材新鲜,正面
手机信号差，经常断网,负面
充电宝容量足，轻便易携带,正面
理发店技术差，剪完效果很丑,负面
咖啡店环境舒适，咖啡香浓,正面
网购商品与图片不符，色差严重,负面
运动鞋穿着舒适，防滑效果好,正面
航空公司延误严重，服务还不好,负面
洗衣液去污能力强，泡沫易漂洗,正面
超市商品标价不清，结账还多收钱,负面
电影特效震撼，演员演技在线,正面
租房中介隐瞒房源问题，收费还高,负面
牙膏清洁力强，还能清新口气,正面
游乐园项目少，排队时间超长,负面
书包容量大，背负舒适,正面
餐厅餐具不干净，有明显污渍,负面
平板电脑屏幕清晰，运行不卡顿,正面
